#       x_input         y_input        x_output        y_output          x_diff          y_diff                
#        arcsec          arcsec          arcsec          arcsec          arcsec          arcsec                
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
          9.577           5.650           9.577           5.650           0.000           0.000
